step,samples,schema_valid_rate,accuracy,macro_f1,source_truncated,same_ordered_sample_ids_as_old_baseline,checkpoint_sha256
1000,300,1.0,0.01,0.0015110356536502546,0,True,57a6ce2f2da3892a418c25b9244c2b0162882cc2756655be1008ba9779f7ca1e
2000,300,0.8066666666666666,0.043333333333333335,0.028716430716430718,0,True,e1caaf4229d745aa7cfe3d5819060e87c86d4485bb0ad5812ca993a995c4a23e
3000,300,1.0,0.08,0.055343256390875444,0,True,e136db865f81ede776d4b9f483864626d6556c589608f3cc26a6b2c533c317d8
4000,300,1.0,0.12333333333333334,0.08899563091229756,0,True,68412902f207f7bb75ebd36bf38f002541d6e685d0f69631049ce3177f1cd03e
5000,300,1.0,0.11333333333333333,0.08944355592242915,0,True,9d3817bc832237b466a52fe29b3bb0a552b412753e58b576598a0a4a8449dd2a
6000,300,1.0,0.10666666666666667,0.08615045412104236,0,True,5c0b525745996ecbc279d7f141f3c41bf00c6c6f9bf86f4a7ea1de7fa75de66d
7000,300,1.0,0.15333333333333332,0.11811733872768355,0,True,cc887a85f1421651be533b65ea5e39c516aa924b4d48e91f38c089cff05c74bb
8000,300,1.0,0.12666666666666668,0.11213675213675212,0,True,1655eb35e545bc62f9e366ebcdddd8ef16005c42ce84c1fe99950a01673e262b
9000,300,0.9133333333333333,0.14666666666666667,0.12405502645502646,0,True,5288092fb1c010b48e7698226fb88cc244a94d74deb092734f9f85cb50fd83fe
10000,300,1.0,0.16666666666666666,0.14298723361262064,0,True,77b6391f3096ecf639c33bb1327b004c3b8aaf7350826b1b6841430570f7c2cf
11000,300,1.0,0.16333333333333333,0.13400600151727968,0,True,3baeec988a1662315ef80707300ba6a327d11d2033f494f6b4361f55e84c46d8
12000,300,1.0,0.14333333333333334,0.11866087675765097,0,True,32cdfb25eb5a7ca921debff1c3635c3dbc0841f44df241d6a17b8f6c9b6c11b0
13000,300,1.0,0.15666666666666668,0.11859020992269076,0,True,2590d7017f8521340a5529217dab4e1e3873d01f40094a984fc28547910cb11c
14000,300,1.0,0.17,0.14760921978998534,0,True,12d5e39d8e7401f49ca49cf2bf2123103011f91e709a5f416700f3361e3dbc83
15000,300,1.0,0.16666666666666666,0.14425957933356864,0,True,1f0528b75f08984dfcb0931bd9e2ecf5c089d7a44ee69e671ac6bb30e3db1112
16000,300,1.0,0.16,0.13920122310639554,0,True,806c4bc99a375c8ba1f2c841036c101b130967ffb24415ddbd8eeb2adaa1fc64
17000,300,1.0,0.15,0.12463022380669439,0,True,4cd1282ea45f73bd0597f04a27b6c702a243e97789b2fc8485873b4f99710fd5
18000,300,1.0,0.17333333333333334,0.1461155881155881,0,True,9bbbab79065c82c10721387b09a8677791b7ef86f9e5c234688b69d165501078
19000,300,1.0,0.18333333333333332,0.15338696488696488,0,True,5ab830d6dab780777d50f14a6fbd88d8f52c97ee65a4f6984be35d512ce1efce
20000,300,1.0,0.16666666666666666,0.12307821409486226,0,True,f6a4e211431822a0c956ee8ef3148733155aa3af23afd1a952d7af68eac5ab33
